Rank;CategoryType;Name;Id;IsSubCategory;IsCuttable;IsTagCategory
1;Annotation;Part Tags;-2000270;;False;True
1;Annotation;Pipe Insulation Tags;-2008155;;False;True
1;AnalyticalModel;Analytical Floors;-2009639;;False;False
2;AnalyticalModel;Local Coordinate System;-2000975;Analytical Floors;False;False
1;Annotation;Mechanical Equipment Tags;-2005009;;False;True
1;Model;Ramps;-2000180;;True;False
2;Model;Stringers;-2003303;Ramps;False;False
2;Model;Up Arrow;-2003307;Ramps;False;False
2;Model;Stringers Beyond Cut Line;-2003304;Ramps;False;False
2;Model;UP text;-2003305;Ramps;False;False
2;Model;Ramps Beyond Cut Line;-2003302;Ramps;False;False
2;Model;DOWN text;-2003306;Ramps;False;False
2;Model;Hidden Lines;-2009509;Ramps;False;False
2;Model;Down Arrow;-2003308;Ramps;False;False
1;Model;Cable Tray Fittings;-2008126;;False;False
2;Model;Center line;-2008140;Cable Tray Fittings;False;False
1;Annotation;Foundation Span Direction Symbol;-2005111;;False;True
1;Annotation;Communication Device Tags;-2008082;;False;True
1;Annotation;Analytical Wall Tags;-2009653;;False;True
1;Model;Structural Connections;-2009030;;True;False
2;Model;Hidden Lines;-2009032;Structural Connections;False;False
1;Model;Planting;-2001360;;False;False
2;Model;Hidden Lines;-2009528;Planting;False;False
1;Annotation;Ceiling Tags;-2005002;;False;True
1;AnalyticalModel;Analytical Wall Foundations;-2009642;;False;False
1;Annotation;Furniture Tags;-2005006;;False;True
1;Model;Mass;-2003400;;True;False
2;Model;Pattern Lines;-2003326;Mass;False;False
2;Model;Mass Interior Wall;-2003412;Mass;True;False
2;Model;Mass Zone;-2003411;Mass;True;False
2;Model;Pattern Fill;-2003327;Mass;False;False
2;Model;Mass Roof;-2003414;Mass;True;False
2;Model;Mass Exterior Wall;-2003413;Mass;True;False
2;Model;Mass Floor;-2003403;Mass;True;False
2;Model;Mass Glazing;-2003415;Mass;True;False
2;Model;Mass Skylight;-2003416;Mass;True;False
2;Model;Nodes;-2003324;Mass;False;False
2;Model;Mass Opening;-2003417;Mass;True;False
2;Model;Gridlines;-2003325;Mass;False;False
2;Model;Hidden Lines;-2009532;Mass;False;False
2;Model;Form;-2003404;Mass;False;False
2;Model;Mass Shade;-2003418;Mass;False;False
1;Model;Air Terminals;-2008013;;False;False
1;Annotation;Pipe Accessory Tags;-2008056;;False;True
1;Annotation;Security Device Tags;-2008080;;False;True
1;Annotation;Window Tags;-2000450;;False;True
1;Annotation;Stair Tread/Riser Numbers;-2000944;;False;False
1;Model;Communication Devices;-2008081;;False;False
1;Model;Piping Systems;-2008043;;False;False
2;Model;Reference Lines;-2008159;Piping Systems;False;False
1;Annotation;Panel Schedule Graphics;-2008151;;False;False
1;Annotation;Detail Item Tags;-2005028;;False;True
1;Annotation;Reference Lines;-2000083;;False;False
1;AnalyticalModel;Analytical Spaces;-2008185;;False;False
1;Model;Plumbing Fixtures;-2001160;;False;False
2;Model;Hidden Lines;-2009521;Plumbing Fixtures;False;False
1;Annotation;Structural Framing Tags;-2005015;;False;True
1;Model;Ceilings;-2000038;;True;False
2;Model;Substrate [2];-2000613;Ceilings;False;False
2;Model;Finish 2 [5];-2000615;Ceilings;False;False
2;Model;Finish 1 [4];-2000614;Ceilings;False;False
2;Model;Common Edges;-2000616;Ceilings;False;False
2;Model;Surface Pattern;-2000543;Ceilings;False;False
2;Model;Cut Pattern;-2000617;Ceilings;False;False
2;Model;Membrane Layer;-2000610;Ceilings;False;False
2;Model;Thermal/Air Layer [3];-2000612;Ceilings;False;False
2;Model;Hidden Lines;-2009503;Ceilings;False;False
2;Model;Structure [1];-2000611;Ceilings;False;False
1;Annotation;Section Boxes;-2000301;;False;False
1;Annotation;Elevation Marks;-2006045;;False;True
1;Annotation;Data Device Tags;-2008084;;False;True
1;Model;Pipe Segments;-2008163;;False;False
1;Model;Conduit Fittings;-2008128;;False;False
